model,rig,regime,mic_group,n_frames,pit_mae
hppnet_l2_r2refined_s0,all,cruise:in-grid,ch1-7,45682,1.889012
hppnet_l2_r2refined_s0,all,ground:all,all,8032,0.198547
hppnet_l2_r2refined_s0,all,ground:all,ch0,1004,0.169380
hppnet_l2_r2refined_s0,all,ground:all,ch1-7,7028,0.202713
hppnet_l2_r2refined_s0,all,ground:below-30,all,192,1.191798
hppnet_l2_r2refined_s0,all,ground:below-30,ch0,24,1.204274
hppnet_l2_r2refined_s0,all,ground:below-30,ch1-7,168,1.190015
hppnet_l2_r2refined_s0,all,ground:zero-frames,all,7840,0.174222
hppnet_l2_r2refined_s0,all,ground:zero-frames,ch0,980,0.144036
hppnet_l2_r2refined_s0,all,ground:zero-frames,ch1-7,6860,0.178534
hppnet_l2_r2refined_s0,all,in-grid,all,62272,2.662393
hppnet_l2_r2refined_s0,all,in-grid,ch0,7784,2.757641
hppnet_l2_r2refined_s0,all,in-grid,ch1-7,54488,2.648787
hppnet_l2_r2refined_s0,all,ramp:all,all,14056,8.039057
hppnet_l2_r2refined_s0,all,ramp:all,ch0,1757,8.889430
hppnet_l2_r2refined_s0,all,ramp:all,ch1-7,12299,7.917575
hppnet_l2_r2refined_s0,all,ramp:below-30,all,2536,17.517982
hppnet_l2_r2refined_s0,all,ramp:below-30,ch0,317,18.660271
hppnet_l2_r2refined_s0,all,ramp:below-30,ch1-7,2219,17.354798
hppnet_l2_r2refined_s0,all,ramp:in-grid,all,10064,6.725547
hppnet_l2_r2refined_s0,all,ramp:in-grid,ch0,1258,7.673023
hppnet_l2_r2refined_s0,all,ramp:in-grid,ch1-7,8806,6.590193
hppnet_l2_r2refined_s0,all,ramp:zero-frames,all,1456,0.608155
hppnet_l2_r2refined_s0,all,ramp:zero-frames,ch0,182,0.278903
hppnet_l2_r2refined_s0,all,ramp:zero-frames,ch1-7,1274,0.655191
hppnet_l2_r2refined_s0,all,zero-frames,all,9296,0.242187
hppnet_l2_r2refined_s0,all,zero-frames,ch0,1162,0.165159
hppnet_l2_r2refined_s0,all,zero-frames,ch1-7,8134,0.253191
